,Timestamp,msTimestamp,,Region0R,Region1G,,,LedState
218,57938.22029,57938220.29,366531066,2607.192767,2100.715016,1,4,2
219,57938.24539,57938245.39,367351195,3622.379747,1424.522492,2,1,4
220,57938.27068,57938270.68,368171756,1987.859675,1959.600262,4,2,1
221,57938.29544,57938295.44,369779885,2606.472333,2101.231213,1,4,2
222,57938.32056,57938320.56,370600366,3622.706691,1424.795279,2,1,4
223,57938.34561,57938345.61,371421967,1988.215552,1961.505574,4,2,1
224,57938.37091,57938370.91,372242592,2606.321881,2102.024393,1,4,2
225,57938.39593,57938395.93,373062625,3623.803255,1425.68918,2,1,4
226,57938.42077,57938420.77,373884306,1988.018807,1961.937836,4,2,1
227,57938.44612,57938446.12,374704883,2606.096203,2102.716852,1,4,2
228,57938.4709,57938470.9,375526452,3622.77613,1424.971541,2,1,4
229,57938.49597,57938495.97,376346997,1987.888608,1958.076852,4,2,1
230,57938.52105,57938521.05,377168134,2605.268716,2101.898492,1,4,2
231,57938.54643,57938546.43,377988775,3620.802893,1424.711344,2,1,4
232,57938.57139,57938571.39,378809336,1987.23472,1958.802885,4,2,1
233,57938.59612,57938596.12,379630873,2605.728752,2102.721049,1,4,2
234,57938.62126,57938621.26,380451450,3623.94792,1425.021902,2,1,4
235,57938.64662,57938646.62,381272987,1987.263653,1959.214164,4,2,1
236,57938.67132,57938671.32,382094092,2606.310307,2103.690492,1,4,2
237,57938.69658,57938696.58,382915757,3624.179385,1424.337836,2,1,4
238,57938.72147,57938721.47,383736734,1988.328391,1959.084066,4,2,1
239,57938.74693,57938746.93,384558351,2605.095118,2101.999213,1,4,2
240,57938.77184,57938771.84,385378960,3622.324774,1425.16459,2,1,4
241,57938.79671,57938796.71,386200545,1987.283906,1957.501902,4,2,1
242,57938.82205,57938822.05,387021042,2605.824231,2101.537574,1,4,2
243,57938.84677,57938846.77,387843059,3622.880289,1425.940984,2,1,4
244,57938.87185,57938871.85,388663220,1986.684991,1959.012721,4,2,1
245,57938.89725,57938897.25,389484917,2604.768174,2100.542951,1,4,2
246,57938.92193,57938921.93,390305462,3621.173237,1424.845639,2,1,4
247,57938.94706,57938947.06,391125991,1987.17396,1957.963541,4,2,1
248,57938.97207,57938972.07,391947592,2606.110669,2100.224,1,4,2
249,57938.99752,57938997.52,392768185,3621.372875,1424.757508,2,1,4
250,57939.02236,57939022.36,393589834,1987.327306,1959.256131,4,2,1
251,57939.04732,57939047.32,394410363,2605.98915,2100.009967,1,4,2
252,57939.07269,57939072.69,395231948,3621.841591,1425.206557,2,1,4
253,57939.09738,57939097.38,396052525,1988.258951,1959.214164,4,2,1
254,57939.1225,57939122.5,396874110,2605.821338,2098.318689,1,4,2
255,57939.1476,57939147.6,397694239,3623.337432,1424.459541,2,1,4
256,57939.17288,57939172.88,398514816,1985.898011,1958.223738,4,2,1
257,57939.19789,57939197.89,399336369,2606.318987,2100.878689,1,4,2
258,57939.22262,57939222.62,400156962,3622.284268,1424.87082,2,1,4
259,57939.24774,57939247.74,400978611,1986.809403,1959.65482,4,2,1
260,57939.27314,57939273.14,401799108,2606.637251,2102.141902,1,4,2
261,57939.29786,57939297.86,403407221,3621.424955,1425.143607,2,1,4
262,57939.32305,57939323.05,404227766,1987.521157,1956.910164,4,2,1
263,57939.34793,57939347.93,405049351,2606.246655,2102.544787,1,4,2
264,57939.37326,57939373.26,405869944,3620.085353,1424.866623,2,1,4
265,57939.3984,57939398.4,406690505,1988.111392,1956.381377,4,2,1
266,57939.42316,57939423.16,407512186,2605.115371,2101.806164,1,4,2
267,57939.4486,57939448.6,408332683,3621.555154,1425.798295,2,1,4
268,57939.4732,57939473.2,409154332,1988.429656,1959.562492,4,2,1
269,57939.49829,57939498.29,409974429,2604.597468,2103.598164,1,4,2
270,57939.52366,57939523.66,410794958,3622.874503,1425.080656,2,1,4
271,57939.5484,57939548.4,411616623,1987.674503,1960.99777,4,2,1
272,57939.57348,57939573.48,412437120,2605.034358,2102.196459,1,4,2
